time;datacenter_id;datacenter_name;host_id;type;active;number_of_pes;available_pes;mips;available_mips;utilization_per_pe;dvfs_available;frequency_range;voltage_range;cpu_power;ram;available_ram;bw;available_bw;storage;available_storage;power_model;vms
10200.01;2;Datacenter_1;273;host;true;2;1;6000;3109.1124347200002;3000.0,109.11243471999958:3000.0,3000.0:;false;;1.200-1.3375;135.9088756528;4000;21.0;10000;9930.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,347.2186144533334,497.0,8.0:2,390.1332746666667,425.0,9.0:2,358.92261269333335,419.0,9.0:2,351.1199472,441.0,8.0:2,390.1332746666667,749.0,9.0:2,351.1199472,559.0,9.0:2,351.1199472,492.0,9.0:2,351.1199472,397.0,9.0:
10500.01;2;Datacenter_1;273;host;true;2;1;6000;3109.1124347200002;3000.0,109.11243471999958:3000.0,3000.0:;false;;1.200-1.3375;135.9088756528;4000;21.0;10000;9930.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,347.2186144533334,497.0,8.0:2,390.1332746666667,425.0,9.0:2,358.92261269333335,419.0,9.0:2,351.1199472,441.0,8.0:2,390.1332746666667,749.0,9.0:2,351.1199472,559.0,9.0:2,351.1199472,492.0,9.0:2,351.1199472,397.0,9.0:
10800.01;2;Datacenter_1;273;host;true;2;1;6000;3109.1124347200002;3000.0,109.11243471999958:3000.0,3000.0:;false;;1.200-1.3375;135.9088756528;4000;21.0;10000;9930.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,347.2186144533334,497.0,8.0:2,390.1332746666667,425.0,9.0:2,358.92261269333335,419.0,9.0:2,351.1199472,441.0,8.0:2,390.1332746666667,749.0,9.0:2,351.1199472,559.0,9.0:2,351.1199472,492.0,9.0:2,351.1199472,397.0,9.0:
11100.01;2;Datacenter_1;273;host;true;2;1;6000;3109.1124347200002;3000.0,109.11243471999958:3000.0,3000.0:;false;;1.200-1.3375;135.9088756528;4000;21.0;10000;9930.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,347.2186144533334,497.0,8.0:2,390.1332746666667,425.0,9.0:2,358.92261269333335,419.0,9.0:2,351.1199472,441.0,8.0:2,390.1332746666667,749.0,9.0:2,351.1199472,559.0,9.0:2,351.1199472,492.0,9.0:2,351.1199472,397.0,9.0:
11400.01;2;Datacenter_1;273;host;true;2;1;6000;3109.1124347200002;3000.0,109.11243471999958:3000.0,3000.0:;false;;1.200-1.3375;135.9088756528;4000;21.0;10000;9930.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,347.2186144533334,497.0,8.0:2,390.1332746666667,425.0,9.0:2,358.92261269333335,419.0,9.0:2,351.1199472,441.0,8.0:2,390.1332746666667,749.0,9.0:2,351.1199472,559.0,9.0:2,351.1199472,492.0,9.0:2,351.1199472,397.0,9.0:
11700.01;2;Datacenter_1;273;host;true;2;1;6000;3109.1124347200002;3000.0,109.11243471999958:3000.0,3000.0:;false;;1.200-1.3375;135.9088756528;4000;21.0;10000;9930.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,347.2186144533334,497.0,8.0:2,390.1332746666667,425.0,9.0:2,358.92261269333335,419.0,9.0:2,351.1199472,441.0,8.0:2,390.1332746666667,749.0,9.0:2,351.1199472,559.0,9.0:2,351.1199472,492.0,9.0:2,351.1199472,397.0,9.0:
12000.01;2;Datacenter_1;273;host;true;2;1;6000;3109.1124347200002;3000.0,109.11243471999958:3000.0,3000.0:;false;;1.200-1.3375;135.9088756528;4000;21.0;10000;9930.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,347.2186144533334,497.0,8.0:2,390.1332746666667,425.0,9.0:2,358.92261269333335,419.0,9.0:2,351.1199472,441.0,8.0:2,390.1332746666667,749.0,9.0:2,351.1199472,559.0,9.0:2,351.1199472,492.0,9.0:2,351.1199472,397.0,9.0:
12300.01;2;Datacenter_1;273;host;true;2;1;6000;3109.1124347200002;3000.0,109.11243471999958:3000.0,3000.0:;false;;1.200-1.3375;135.9088756528;4000;21.0;10000;9930.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,347.2186144533334,497.0,8.0:2,390.1332746666667,425.0,9.0:2,358.92261269333335,419.0,9.0:2,351.1199472,441.0,8.0:2,390.1332746666667,749.0,9.0:2,351.1199472,559.0,9.0:2,351.1199472,492.0,9.0:2,351.1199472,397.0,9.0:
12600.01;2;Datacenter_1;273;host;true;2;1;6000;3109.1124347200002;3000.0,109.11243471999958:3000.0,3000.0:;false;;1.200-1.3375;135.9088756528;4000;21.0;10000;9930.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,347.2186144533334,497.0,8.0:2,390.1332746666667,425.0,9.0:2,358.92261269333335,419.0,9.0:2,351.1199472,441.0,8.0:2,390.1332746666667,749.0,9.0:2,351.1199472,559.0,9.0:2,351.1199472,492.0,9.0:2,351.1199472,397.0,9.0:
300.01;2;Datacenter_1;274;host;true;2;1;6000;3397.8110579733334;3000.0,397.8110579733336:3000.0,3000.0:;false;;1.200-1.3375;133.02188942026666;4000;162.0;10000;9935.0;160000;153000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,525.0,10.0:2,370.6266109333334,458.0,9.0:2,351.1199472,441.0,9.0:2,394.03460741333333,721.0,9.0:2,351.1199472,508.0,9.0:2,351.1199472,514.0,9.0:2,390.1332746666667,671.0,10.0:
600.01;2;Datacenter_1;274;host;true;2;1;6000;3397.8110579733334;3000.0,397.8110579733336:3000.0,3000.0:;false;;1.200-1.3375;133.02188942026666;4000;162.0;10000;9935.0;160000;153000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,525.0,10.0:2,370.6266109333334,458.0,9.0:2,351.1199472,441.0,9.0:2,394.03460741333333,721.0,9.0:2,351.1199472,508.0,9.0:2,351.1199472,514.0,9.0:2,390.1332746666667,671.0,10.0:
900.01;2;Datacenter_1;274;host;true;2;1;6000;3397.8110579733334;3000.0,397.8110579733336:3000.0,3000.0:;false;;1.200-1.3375;133.02188942026666;4000;162.0;10000;9935.0;160000;153000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,525.0,10.0:2,370.6266109333334,458.0,9.0:2,351.1199472,441.0,9.0:2,394.03460741333333,721.0,9.0:2,351.1199472,508.0,9.0:2,351.1199472,514.0,9.0:2,390.1332746666667,671.0,10.0:
1200.01;2;Datacenter_1;274;host;true;2;1;6000;3397.8110579733334;3000.0,397.8110579733336:3000.0,3000.0:;false;;1.200-1.3375;133.02188942026666;4000;162.0;10000;9935.0;160000;153000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,525.0,10.0:2,370.6266109333334,458.0,9.0:2,351.1199472,441.0,9.0:2,394.03460741333333,721.0,9.0:2,351.1199472,508.0,9.0:2,351.1199472,514.0,9.0:2,390.1332746666667,671.0,10.0:
1500.01;2;Datacenter_1;274;host;true;2;1;6000;3397.8110579733334;3000.0,397.8110579733336:3000.0,3000.0:;false;;1.200-1.3375;133.02188942026666;4000;162.0;10000;9935.0;160000;153000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,525.0,10.0:2,370.6266109333334,458.0,9.0:2,351.1199472,441.0,9.0:2,394.03460741333333,721.0,9.0:2,351.1199472,508.0,9.0:2,351.1199472,514.0,9.0:2,390.1332746666667,671.0,10.0:
1800.01;2;Datacenter_1;274;host;true;2;1;6000;3397.8110579733334;3000.0,397.8110579733336:3000.0,3000.0:;false;;1.200-1.3375;133.02188942026666;4000;162.0;10000;9935.0;160000;153000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,525.0,10.0:2,370.6266109333334,458.0,9.0:2,351.1199472,441.0,9.0:2,394.03460741333333,721.0,9.0:2,351.1199472,508.0,9.0:2,351.1199472,514.0,9.0:2,390.1332746666667,671.0,10.0:
2100.01;2;Datacenter_1;274;host;true;2;1;6000;3397.8110579733334;3000.0,397.8110579733336:3000.0,3000.0:;false;;1.200-1.3375;133.02188942026666;4000;162.0;10000;9935.0;160000;153000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,525.0,10.0:2,370.6266109333334,458.0,9.0:2,351.1199472,441.0,9.0:2,394.03460741333333,721.0,9.0:2,351.1199472,508.0,9.0:2,351.1199472,514.0,9.0:2,390.1332746666667,671.0,10.0:
2400.01;2;Datacenter_1;274;host;true;2;1;6000;3397.8110579733334;3000.0,397.8110579733336:3000.0,3000.0:;false;;1.200-1.3375;133.02188942026666;4000;162.0;10000;9935.0;160000;153000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,525.0,10.0:2,370.6266109333334,458.0,9.0:2,351.1199472,441.0,9.0:2,394.03460741333333,721.0,9.0:2,351.1199472,508.0,9.0:2,351.1199472,514.0,9.0:2,390.1332746666667,671.0,10.0:
2700.01;2;Datacenter_1;274;host;true;2;1;6000;3397.8110579733334;3000.0,397.8110579733336:3000.0,3000.0:;false;;1.200-1.3375;133.02188942026666;4000;162.0;10000;9935.0;160000;153000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,525.0,10.0:2,370.6266109333334,458.0,9.0:2,351.1199472,441.0,9.0:2,394.03460741333333,721.0,9.0:2,351.1199472,508.0,9.0:2,351.1199472,514.0,9.0:2,390.1332746666667,671.0,10.0:
3000.01;2;Datacenter_1;274;host;true;2;1;6000;3397.8110579733334;3000.0,397.8110579733336:3000.0,3000.0:;false;;1.200-1.3375;133.02188942026666;4000;162.0;10000;9935.0;160000;153000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,525.0,10.0:2,370.6266109333334,458.0,9.0:2,351.1199472,441.0,9.0:2,394.03460741333333,721.0,9.0:2,351.1199472,508.0,9.0:2,351.1199472,514.0,9.0:2,390.1332746666667,671.0,10.0:
3300.01;2;Datacenter_1;274;host;true;2;1;6000;3397.8110579733334;3000.0,397.8110579733336:3000.0,3000.0:;false;;1.200-1.3375;133.02188942026666;4000;162.0;10000;9935.0;160000;153000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,525.0,10.0:2,370.6266109333334,458.0,9.0:2,351.1199472,441.0,9.0:2,394.03460741333333,721.0,9.0:2,351.1199472,508.0,9.0:2,351.1199472,514.0,9.0:2,390.1332746666667,671.0,10.0:
