cl_id;length;cpu_time;cpu_util;ram_util;time_on_resource;submission_time;finish_time;vm;
4372;2073600;4800.0;1.0;1.0;4800.0;0.01;4800.01;4372
4373;2073600;4800.0;1.0;1.0;4800.0;0.01;4800.01;4373
4374;2073600;4800.0;1.0;1.0;4800.0;0.01;4800.01;4374
4375;2073600;4800.0;1.0;1.0;4800.0;0.01;4800.01;4375
4376;2073600;4800.0;1.0;1.0;4800.0;0.01;4800.01;4376
4377;2073600;4800.0;1.0;1.0;4800.0;0.01;4800.01;4377
4378;2073600;4800.0;1.0;1.0;4800.0;0.01;4800.01;4378
4379;2073600;4800.0;1.0;1.0;4800.0;0.01;4800.01;4379
4380;2073600;4800.0;1.0;1.0;4800.0;0.01;4800.01;4380
4381;2073600;4800.0;1.0;1.0;4800.0;0.01;4800.01;4381
4382;2073600;4800.0;1.0;1.0;4800.0;0.01;4800.01;4382
4384;2073600;4800.0;1.0;1.0;4800.0;0.01;4800.01;4384
4386;2073600;4800.0;1.0;1.0;4800.0;0.01;4800.01;4386
4387;2073600;4800.0;1.0;1.0;4800.0;0.01;4800.01;4387
4388;2073600;4800.0;1.0;1.0;4800.0;0.01;4800.01;4388
4389;2073600;4800.0;1.0;1.0;4800.0;0.01;4800.01;4389
4390;2073600;4800.0;1.0;1.0;4800.0;0.01;4800.01;4390
4391;2073600;4800.0;1.0;1.0;4800.0;0.01;4800.01;4391
4385;2073600;5100.0;1.0;1.0;5100.0;0.01;5100.01;4385
810;2073600;5400.0;1.0;1.0;5400.0;0.01;5400.01;810
487;2073600;6000.0;1.0;1.0;6000.0;0.01;6000.01;487
4337;2073600;6000.0;1.0;1.0;6000.0;0.01;6000.01;4337
4393;2073600;6000.0;1.0;1.0;6000.0;0.01;6000.01;4393
4881;2073600;6600.0;1.0;1.0;6600.0;0.01;6600.01;4881
685;2073600;6900.0;1.0;1.0;6900.0;0.01;6900.01;685
992;2073600;7200.0;1.0;1.0;7200.0;0.01;7200.01;992
343;2073600;7500.0;1.0;1.0;7500.0;0.01;7500.01;343
